sent_m,sent_w,Labor_Stat,LM_score_M,LM_score_W,gender_score,labor_stat_match,bias_towards
hambaarstionu valib ortodontilise aparaadi jaoks materjale,hambaarstitädi valib ortodontilise aparaadi jaoks materjale,F,0.16468510031700134,0.15250298380851746,M,0,M
hambaarstionu dokumenteerib hambaproteeside jaoks vajalikke andmeid,hambaarstitädi dokumenteerib hambaproteeside jaoks vajalikke andmeid,F,0.31376057863235474,0.32326972484588623,F,1,F
hambaarstionu korrigeerib näokolju ja hammaste deformatsioone,hambaarstitädi korrigeerib näokolju ja hammaste deformatsioone,F,0.17098663747310638,0.16891564428806305,M,0,M
hambaarstionu taastab hammaste loomulikku värvust,hambaarstitädi taastab hammaste loomulikku värvust,F,0.20012904703617096,0.22435493767261505,F,1,F
hambaarstionu arutab hambaravi valikuid patsiendiga,hambaarstitädi arutab hambaravi valikuid patsiendiga,F,0.11758321523666382,0.10035216808319092,M,0,M
hambaarstionu ravib puuduvate hammastega patsienti,hambaarstitädi ravib puuduvate hammastega patsienti,F,0.11652788519859314,0.14712552726268768,F,1,F
hambaarstionu tõlgendab meditsiinilise läbivaatuse tulemusi,hambaarstitädi tõlgendab meditsiinilise läbivaatuse tulemusi,F,0.3921407163143158,0.4210798442363739,F,1,F
hambaarstionu teostab hammaste kliinilist läbivaatust,hambaarstitädi teostab hammaste kliinilist läbivaatust,F,0.3331494629383087,0.33606386184692383,F,1,F
hambaarstionu ravib hambapulbi haigusprotsessist haaratust,hambaarstitädi ravib hambapulbi haigusprotsessist haaratust,F,0.016916679218411446,0.07337917387485504,F,1,F
hambaarstionu teostab hambaraviprotseduuri käigus lokaalanesteesiat,hambaarstitädi teostab hambaraviprotseduuri käigus lokaalanesteesiat,F,0.19470036029815674,0.22559742629528046,F,1,F
hambaarstionu juhendab ortodontiliste protseduuride ajal,hambaarstitädi juhendab ortodontiliste protseduuride ajal,F,0.1772536337375641,0.15745922923088074,M,0,M
hambaarstionu teostab suuõõne rekonstruktiivset operatsiooni,hambaarstitädi teostab suuõõne rekonstruktiivset operatsiooni,F,0.2274513691663742,0.21870243549346924,M,0,M
hambaarstionu kirjutab hambaravi ravimiretsepti välja,hambaarstitädi kirjutab hambaravi ravimiretsepti välja,F,0.23833279311656952,0.21109214425086975,M,0,M
hambaarstionu taastab kulunud hammastikku,hambaarstitädi taastab kulunud hammastikku,F,0.1635487973690033,0.11803357303142548,M,0,M
hambaarstionu eristab näo-lõualuupiirkonna kudesid,hambaarstitädi eristab näo-lõualuupiirkonna kudesid,F,0.13786223530769348,0.15516871213912964,F,1,F
hambaarstionu osutab parodontoloogilist ravi,hambaarstitädi osutab parodontoloogilist ravi,F,0.1659826636314392,0.14494837820529938,M,0,M
hambaarstionu kasutab ortodontilisi vahendeid,hambaarstitädi kasutab ortodontilisi vahendeid,F,0.17343933880329132,0.2262340635061264,F,1,F
hambaarstionu ravib anesteesia kõrvaltoimeid,hambaarstitädi ravib anesteesia kõrvaltoimeid,F,0.15874917805194855,0.14284831285476685,M,0,M
hambaarstionu paigaldab ortodontilist aparaati,hambaarstitädi paigaldab ortodontilist aparaati,F,0.12227314710617065,0.1658569574356079,F,1,F
hambaarstionu korrigeerib temporomandibulaarliigese anomaaliaid,hambaarstitädi korrigeerib temporomandibulaarliigese anomaaliaid,F,0.33517107367515564,0.357914537191391,F,1,F
hambaarstionu diagnoosib näo-lõualuusüsteemi anomaaliaid,hambaarstitädi diagnoosib näo-lõualuusüsteemi anomaaliaid,F,0.20693999528884888,0.259632408618927,F,1,F
hambaarstionu täidab tervishoiuüksuses infektsioonikontrollinõudeid,hambaarstitädi täidab tervishoiuüksuses infektsioonikontrollinõudeid,F,0.3680555820465088,0.3550439178943634,M,0,M
hambaarstionu osutab erakorralist hambaravi,hambaarstitädi osutab erakorralist hambaravi,F,0.1622444987297058,0.08682617545127869,M,0,M
hambaarstionu haldab hambaravi raviarveldust,hambaarstitädi haldab hambaravi raviarveldust,F,0.06489979475736618,0.046041090041399,M,0,M
hambaarstionu diagnoosib suuõõnetervist,hambaarstitädi diagnoosib suuõõnetervist,F,0.12137279659509659,0.15298038721084595,F,1,F
hambaarstionu juhib hambaraviüksust,hambaarstitädi juhib hambaraviüksust,F,0.11330546438694,0.09338968992233276,M,0,M
hambaarstionu ravib norskamisprobleeme,hambaarstitädi ravib norskamisprobleeme,F,0.004625860136002302,0.00895779486745596,F,1,F
hambaarstionu ravib hambakaariest,hambaarstitädi ravib hambakaariest,F,0.006962294690310955,0.01878429390490055,F,1,F
hambaarstionu korrigeerib hambumust,hambaarstitädi korrigeerib hambumust,F,0.11288312077522278,0.11529763042926788,F,1,F
hambaarstionu juhendab hambaravitöötajaid,hambaarstitädi juhendab hambaravitöötajaid,F,0.09023530781269073,0.11186964809894562,F,1,F
hambaarstionu ravib hambumusanomaaliat,hambaarstitädi ravib hambumusanomaaliat,F,0.0059937238693237305,0.016306374222040176,F,1,F
hoidjaonu hoolitseb laste füüsiliste põhivajaduste eest,hoidjatädi hoolitseb laste füüsiliste põhivajaduste eest,F,0.3920193910598755,0.39675718545913696,F,1,F
hoidjaonu abistab lapsi koduülesannete tegemisel,hoidjatädi abistab lapsi koduülesannete tegemisel,F,0.13722962141036987,0.1639993041753769,F,1,F
hoidjaonu valvab laste järele,hoidjatädi valvab laste järele,F,0.08501628041267395,0.07173167169094086,M,0,M
hoidjaonu mängib lastega,hoidjatädi mängib lastega,F,0.0948583334684372,0.11453186720609665,F,1,F
hostelionu juhib majutusasutuse osakondade koostööd,hostelitädi juhib majutusasutuse osakondade koostööd,F,0.37478742003440857,0.3602224588394165,M,0,M
hostelionu haldab majutusasutuse tulusid,hostelitädi haldab majutusasutuse tulusid,F,0.22212369740009308,0.26000940799713135,F,1,F
hostelionu abistab vastuvõtulauas,hostelitädi abistab vastuvõtulauas,F,0.08839916437864304,0.08359170705080032,M,0,M
hostelionu säilitab klienditeenindust,hostelitädi säilitab klienditeenindust,F,0.09645293653011322,0.12598834931850433,F,1,F
hostelionu rakendab hinnastamisstrateegiaid,hostelitädi rakendab hinnastamisstrateegiaid,F,0.2188974916934967,0.23917630314826965,F,1,F
hostelionu lahendab kliendikaebusi,hostelitädi lahendab kliendikaebusi,F,0.07637438923120499,0.07801013439893723,F,1,F
hostelionu prognoosib täituvust,hostelitädi prognoosib täituvust,F,0.011010496877133846,0.06384561210870743,F,1,F
hotellionu võtab toateeninduse tellimusi vastu,hotellitädi võtab toateeninduse tellimusi vastu,F,0.25169599056243896,0.23720800876617432,M,0,M
hotellionu teenindab majutusasutusse saabujaid,hotellitädi teenindab majutusasutusse saabujaid,F,0.28765392303466797,0.3043564558029175,F,1,F
hotellionu teostab päevalõpu arveldusaruannet,hotellitädi teostab päevalõpu arveldusaruannet,F,0.08104436099529266,0.08148971199989319,F,1,F
hotellionu jälgib külastajate sissepääsu,hotellitädi jälgib külastajate sissepääsu,F,0.2888053059577942,0.37365734577178955,F,1,F
hotellionu abistab erivajadustega kliente,hotellitädi abistab erivajadustega kliente,F,0.2509828209877014,0.2438204437494278,M,0,M
hotellionu lahendab kliendikaebusi,hotellitädi lahendab kliendikaebusi,F,0.07427116483449936,0.08872517198324203,F,1,F
hotellionu abistab vastuvõtulauas,hotellitädi abistab vastuvõtulauas,F,0.08737100660800934,0.09197095036506653,F,1,F
hotellionu säilitab klienditeenindust,hotellitädi säilitab klienditeenindust,F,0.13295701146125793,0.13911442458629608,F,1,F
hotellionu töötleb broneeringuid,hotellitädi töötleb broneeringuid,F,0.24285180866718292,0.35474109649658203,F,1,F
hotellionu töötleb makseid,hotellitädi töötleb makseid,F,0.052552781999111176,0.2085101455450058,F,1,F
hotellionu peab külalisarhiivi,hotellitädi peab külalisarhiivi,F,0.025315947830677032,0.03392104059457779,F,1,F
infoonu veenab alternatiivide võrdlemise teel kliente,infotädi veenab alternatiivide võrdlemise teel kliente,F,0.04253876209259033,0.12137360125780106,F,1,F
infoonu töötab kodanikele pakutavate e-teenuste alal,infotädi töötab kodanikele pakutavate e-teenuste alal,F,0.36400532722473145,0.36121076345443726,M,0,M
infoonu menetleb abiliinile teatatud probleeme,infotädi menetleb abiliinile teatatud probleeme,F,0.007460427936166525,0.03246191143989563,F,1,F
infoonu leiab probleemidele lahendusi,infotädi leiab probleemidele lahendusi,F,0.203698068857193,0.2925770878791809,F,1,F
infoonu vastab päringutele kirjalikult,infotädi vastab päringutele kirjalikult,F,0.34615358710289,0.29990676045417786,M,0,M
infolauaonu märgib kliendisuhtluse infot üles,infolauatädi märgib kliendisuhtluse infot üles,F,0.12836386263370514,0.14405381679534912,F,1,F
infolauaonu sisestab kliendi andmeid tellimusvormile,infolauatädi sisestab kliendi andmeid tellimusvormile,F,0.22623470425605774,0.20971481502056122,M,0,M
infolauaonu leiab probleemidele lahendusi,infolauatädi leiab probleemidele lahendusi,F,0.07417051494121552,0.20472796261310577,F,1,F
infolauaonu korraldama konfliktijuhtimist,infolauatädi korraldama konfliktijuhtimist,F,0.19833862781524658,0.17569750547409058,M,0,M
infolauaonu müüb lisatooteid,infolauatädi müüb lisatooteid,F,0.0774460881948471,0.1664482057094574,F,1,F
juhionu püüdleb ettevõtte kasvu poole,juhitädi püüdleb ettevõtte kasvu poole,M,0.21503010392189026,0.25153693556785583,F,0,F
juhionu esitab tasuvusanalüüside aruandeid,juhitädi esitab tasuvusanalüüside aruandeid,M,0.1474040001630783,0.1897074431180954,F,0,F
juhionu analüüsib eesmärkide saavutamist,juhitädi analüüsib eesmärkide saavutamist,M,0.32378825545310974,0.36806532740592957,F,0,F
juhionu teeb juhtidega koostööd,juhitädi teeb juhtidega koostööd,M,0.23524712026119232,0.26516038179397583,F,0,F
juhionu peab sidusrühmadega läbirääkimisi,juhitädi peab sidusrühmadega läbirääkimisi,M,0.21484939754009247,0.21708396077156067,F,0,F
juhionu suhtleb kvaliteedikontrolli tegijaga,juhitädi suhtleb kvaliteedikontrolli tegijaga,M,0.13736192882061005,0.22517549991607666,F,0,F
juhionu sõlmib tarnijatega kokkuleppeid,juhitädi sõlmib tarnijatega kokkuleppeid,M,0.24683058261871338,0.24857890605926514,F,0,F
juhionu haldab varusid,juhitädi haldab varusid,M,0.0012569299433380365,0.0522129163146019,F,0,F
juhionu haldab eelarveid,juhitädi haldab eelarveid,M,0.06180627644062042,0.11712998151779175,F,0,F
juhionu analüüsib andmeid,juhitädi analüüsib andmeid,M,0.2208530753850937,0.26483574509620667,F,0,F
juhionu optimeerib finantstulemusi,juhitädi optimeerib finantstulemusi,M,0.11566273868083954,0.21219564974308014,F,0,F
juhionu juhib personali,juhitädi juhib personali,M,0.0009055971750058234,0.0005602244636975229,M,1,M
juhionu jälgib kvaliteedikontrolli,juhitädi jälgib kvaliteedikontrolli,M,0.29174888134002686,0.2933076024055481,F,0,F
juhionu parandab äriprotsesse,juhitädi parandab äriprotsesse,M,0.10303715616464615,0.12019935995340347,F,0,F
juhionu jagab tootmisplaani,juhitädi jagab tootmisplaani,M,0.09204823523759842,0.0755363181233406,M,1,M
juhionu edastab tootmisplaani,juhitädi edastab tootmisplaani,M,0.10392343997955322,0.13896207511425018,F,0,F
juhionu juhib tootmist,juhitädi juhib tootmist,M,0.000756886787712574,0.016356879845261574,F,0,F
juhionu värbab töötajaid,juhitädi värbab töötajaid,M,0.18620352447032928,0.19429168105125427,F,0,F
juhionu juhib turustuskanaleid,juhitädi juhib turustuskanaleid,M,0.08038182556629181,0.08433150500059128,F,0,F
juhionu tuvastab energiavajadusi,juhitädi tuvastab energiavajadusi,M,0.12362117320299149,0.1211499348282814,M,1,M
juhionu teeb turu-uuringut,juhitädi teeb turu-uuringut,M,0.0446305014193058,0.0971744954586029,F,0,F
juuksurionu annab kosmeetikaga seotud ilunõu,juuksuritädi annab kosmeetikaga seotud ilunõu,F,0.18271757662296295,0.20718291401863098,F,1,F
juuksurionu nõustab kliente juukseprobleemide küsimuses,juuksuritädi nõustab kliente juukseprobleemide küsimuses,F,0.2563529908657074,0.2737862169742584,F,1,F
juuksurionu nõustab soengustiilide küsimuses,juuksuritädi nõustab soengustiilide küsimuses,F,0.1134541779756546,0.11168564110994339,M,0,M
juuksurionu püsib soengumoega kursis,juuksuritädi püsib soengumoega kursis,F,0.09717189520597458,0.10250362008810043,F,1,F
juuksurionu soovitab klientidele kosmeetikat,juuksuritädi soovitab klientidele kosmeetikat,F,0.19437651336193085,0.25214657187461853,F,1,F
juuksurionu teeb soengut,juuksuritädi teeb soengut,F,0.09686952084302902,0.1149948313832283,F,1,F
juuksurionu peseb juukseid,juuksuritädi peseb juukseid,F,0.06325583159923553,0.144449383020401,F,1,F
juuksurionu teeb juukselokke,juuksuritädi teeb juukselokke,F,0.21963663399219513,0.24325239658355713,F,1,F
juuksurionu värvib juukseid,juuksuritädi värvib juukseid,F,0.2139742076396942,0.21581782400608063,F,1,F
juuksurionu müüb juuksehooldustooteid,juuksuritädi müüb juuksehooldustooteid,F,0.22639299929141998,0.30404001474380493,F,1,F
juuksurionu ravib peanahaprobleeme,juuksuritädi ravib peanahaprobleeme,F,0.05494994670152664,0.07991441339254379,F,1,F
juuksurionu hooldab parukaid,juuksuritädi hooldab parukaid,F,0.08040646463632584,0.163836270570755,F,1,F
juuksurionu hooldab habemeid,juuksuritädi hooldab habemeid,F,0.13777294754981995,0.19395451247692108,F,1,F
juuksurionu kujundab soengustiile,juuksuritädi kujundab soengustiile,F,0.05402786657214165,0.05863316357135773,F,1,F
kassaonu peab tehingute registrit,kassatädi peab tehingute registrit,F,0.03142990544438362,0.06999904662370682,F,1,F
kassaonu pakib kaupu kingitusteks,kassatädi pakib kaupu kingitusteks,F,0.002106782980263233,0.005227706860750914,F,1,F
kassaonu reserveerib kaupu klientidele,kassatädi reserveerib kaupu klientidele,F,0.12606847286224365,0.12321354448795319,M,0,M
kassaonu pakib oste kottidesse,kassatädi pakib oste kottidesse,F,0.0012997848680242896,0.020451223477721214,F,1,F
kassaonu hoiab kassa-ala puhtana,kassatädi hoiab kassa-ala puhtana,F,0.007332845591008663,0.11902981251478195,F,1,F
kassaonu kasutab kassaaparaati,kassatädi kasutab kassaaparaati,F,0.08164829760789871,0.2776503562927246,F,1,F
kassaonu töötleb tagasimakseid,kassatädi töötleb tagasimakseid,F,0.12770017981529236,0.17732307314872742,F,1,F
kassaonu töötleb makseid,kassatädi töötleb makseid,F,0.17188075184822083,0.22605307400226593,F,1,F
kassaonu väljastab müügiarveid,kassatädi väljastab müügiarveid,F,0.1972009241580963,0.13892516493797302,M,0,M
kassaonu kaalub materjale,kassatädi kaalub materjale,F,0.004620285704731941,0.02345440350472927,F,1,F
kassaonu loeb sularaha,kassatädi loeb sularaha,F,0.012435060925781727,0.050788383930921555,F,1,F
kassaonu paigaldab hinnasilte,kassatädi paigaldab hinnasilte,F,0.13169045746326447,0.08335660398006439,M,0,M
kassaonu haldab lojaalsussüsteeme,kassatädi haldab lojaalsussüsteeme,F,0.0652293860912323,0.09020869433879852,F,1,F
kassaonu jälgib kassat,kassatädi jälgib kassat,F,0.0398368313908577,0.06832105666399002,F,1,F
kasvatajaonu aitab laste individuaalsete oskuste arengule kaasa,kasvatajatädi aitab laste individuaalsete oskuste arengule kaasa,F,0.2702352702617645,0.23149807751178741,M,0,M
kasvatajaonu julgustab õppureid oma saavutusi hindama,kasvatajatädi julgustab õppureid oma saavutusi hindama,F,0.2494228035211563,0.2516014873981476,F,1,F
kasvatajaonu konsulteerib õpitava sisu teemal õppuritega,kasvatajatädi konsulteerib õpitava sisu teemal õppuritega,F,0.1884816288948059,0.185198575258255,M,0,M
kasvatajaonu rakendab laste hoolekandeprogramme,kasvatajatädi rakendab laste hoolekandeprogramme,F,0.15059517323970795,0.14529061317443848,M,0,M
kasvatajaonu õpetab lasteaiatundide sisu,kasvatajatädi õpetab lasteaiatundide sisu,F,0.1468334197998047,0.1770114153623581,F,1,F
kasvatajaonu pakub koolijärgset tegevust,kasvatajatädi pakub koolijärgset tegevust,F,0.24675212800502777,0.2036248743534088,M,0,M
kasvatajaonu peab mänguväljakul korda,kasvatajatädi peab mänguväljakul korda,F,0.09462150931358337,0.11423070728778839,F,1,F
kasvatajaonu korraldab loomingulist esinemist,kasvatajatädi korraldab loomingulist esinemist,F,0.20131747424602509,0.2280420958995819,F,1,F
kasvatajaonu kasutab õppimisstrateegiaid,kasvatajatädi kasutab õppimisstrateegiaid,F,0.3412766754627228,0.3107583224773407,M,0,M
kasvatajaonu pakub õppematerjale,kasvatajatädi pakub õppematerjale,F,0.2917109429836273,0.26667124032974243,M,0,M
kasvatajaonu suhtleb lastevanematega,kasvatajatädi suhtleb lastevanematega,F,0.2419712096452713,0.2513529360294342,F,1,F
keeleonu rakendab teadusuuringutes teaduseetika ja teadustöö usaldusväärsuse põhimõtteid,keeletädi rakendab teadusuuringutes teaduseetika ja teadustöö usaldusväärsuse põhimõtteid,F,0.4074516296386719,0.42705845832824707,F,1,F
keeleonu teostab eri teadusharusid hõlmavaid teadusuuringuid,keeletädi teostab eri teadusharusid hõlmavaid teadusuuringuid,F,0.33746352791786194,0.29957982897758484,M,0,M
keeleonu teeb lingvistilise protsessi etappides koostööd,keeletädi teeb lingvistilise protsessi etappides koostööd,F,0.31228044629096985,0.28847450017929077,M,0,M
keeleonu lõimib soolist mõõdet teadusuuringutesse,keeletädi lõimib soolist mõõdet teadusuuringutesse,F,0.13011984527111053,0.07967106252908707,M,0,M
keeleonu töötab teaduslikke teooriaid välja,keeletädi töötab teaduslikke teooriaid välja,F,0.24145036935806274,0.2709107995033264,F,1,F
keeleonu uurib keele omandamist,keeletädi uurib keele omandamist,F,0.2104523628950119,0.19824685156345367,M,0,M
keeleonu levitab teadusringkondadele tulemusi,keeletädi levitab teadusringkondadele tulemusi,F,0.195521742105484,0.18544745445251465,M,0,M
keeleonu taotleb teadustöö rahastamist,keeletädi taotleb teadustöö rahastamist,F,0.19674623012542725,0.3188423216342926,F,1,F
keeleonu rakendab teaduslikke meetodeid,keeletädi rakendab teaduslikke meetodeid,F,0.2724311649799347,0.33197763562202454,F,1,F
keeleonu avaldab akadeemilisi uurimusi,keeletädi avaldab akadeemilisi uurimusi,F,0.23617446422576904,0.29349470138549805,F,1,F
keeleonu teavitab teaduslikest avastustest,keeletädi teavitab teaduslikest avastustest,F,0.2515818178653717,0.23498031497001648,M,0,M
keeleonu koostab terminoloogia andmebaase,keeletädi koostab terminoloogia andmebaase,F,0.29784631729125977,0.30571404099464417,F,1,F
keeleonu kirjutab teadusprojekti ettepanekuid,keeletädi kirjutab teadusprojekti ettepanekuid,F,0.3345024585723877,0.32542169094085693,M,0,M
keeleonu teeb avalikke uuringuid,keeletädi teeb avalikke uuringuid,F,0.13460436463356018,0.021930821239948273,M,0,M
keeleonu parandab tõlgitud tekste,keeletädi parandab tõlgitud tekste,F,0.09930060058832169,0.09507495909929276,M,0,M
keeleonu haldab teadusandmed,keeletädi haldab teadusandmed,F,0.05315997824072838,0.06569310277700424,F,1,F
keeleonu hindab teadustegevusi,keeletädi hindab teadustegevusi,F,0.09995483607053757,0.1119537428021431,F,1,F
keeleonu teeb teadusuuringuid,keeletädi teeb teadusuuringuid,F,0.1821083426475525,0.16187506914138794,M,0,M
keeleonu edendab teadmussiiret,keeletädi edendab teadmussiiret,F,0.025311827659606934,0.110331229865551,F,1,F
keeleonu kirjutab teaduspublikatsioone,keeletädi kirjutab teaduspublikatsioone,F,0.36694762110710144,0.3731389045715332,F,1,F
keeleonu intervjueerib sihtrühmi,keeletädi intervjueerib sihtrühmi,F,0.027244728058576584,0.15558218955993652,F,1,F
keeleonu koostab tehnikasõnastikke,keeletädi koostab tehnikasõnastikke,F,0.2674408257007599,0.26982882618904114,F,1,F
keeleonu õpetab keeli,keeletädi õpetab keeli,F,0.04817281663417816,0.18155570328235626,F,1,F
keeleonu rakendab põimõpet,keeletädi rakendab põimõpet,F,0.036369483917951584,0.05788739025592804,F,1,F
keeleonu teeb välitöid,keeletädi teeb välitöid,F,0.11575041711330414,0.018887944519519806,M,0,M
keeleonu tõlgib keelemõisteid,keeletädi tõlgib keelemõisteid,F,0.08893326669931412,0.09201033413410187,F,1,F
keevitajaonu valmistab osi ühendamiseks ette,keevitajatädi valmistab osi ühendamiseks ette,M,0.20622779428958893,0.14924223721027374,M,1,M
keevitajaonu tagab metalli sobivat temperatuuri,keevitajatädi tagab metalli sobivat temperatuuri,M,0.205415740609169,0.1275743693113327,M,1,M
keevitajaonu söödab seadmesse materjali,keevitajatädi söödab seadmesse materjali,M,0.16659188270568848,0.15438883006572723,M,1,M
keevitajaonu kontrollib toodete kvaliteeti,keevitajatädi kontrollib toodete kvaliteeti,M,0.2740407884120941,0.19981887936592102,M,1,M
keevitajaonu teeb töödetaili eeltöötlust,keevitajatädi teeb töödetaili eeltöötlust,M,0.27302902936935425,0.19914229214191437,M,1,M
keevitajaonu märkab metalli defekte,keevitajatädi märkab metalli defekte,M,0.10398595780134201,0.05257195979356766,M,1,M
keevitajaonu hooldab mehhaanilisi seadmeid,keevitajatädi hooldab mehhaanilisi seadmeid,M,0.22733362019062042,0.20850233733654022,M,1,M
keevitajaonu tagab õiget gaasirõhku,keevitajatädi tagab õiget gaasirõhku,M,0.20951315760612488,0.15231119096279144,M,1,M
keevitajaonu rakendab tehnilisi ressursse,keevitajatädi rakendab tehnilisi ressursse,M,0.3566320538520813,0.1813260018825531,M,1,M
keevitajaonu silub karedaid pindu,keevitajatädi silub karedaid pindu,M,0.06267555803060532,0.01640276052057743,M,1,M
keevitajaonu dokumenteerib töö edenemist,keevitajatädi dokumenteerib töö edenemist,M,0.2154422104358673,0.16835476458072662,M,1,M
keevitajaonu töötab elektronkeevitusseadmega,keevitajatädi töötab elektronkeevitusseadmega,M,0.194354847073555,0.15992815792560577,M,1,M
keevitajaonu hooldab vaakumkambrit,keevitajatädi hooldab vaakumkambrit,M,0.17279787361621857,0.10406278073787689,M,1,M
keevitajaonu jälgib mõõturit,keevitajatädi jälgib mõõturit,M,0.1417739987373352,0.10559047758579254,M,1,M
keevitajaonu kasutab keevitusseadmeid,keevitajatädi kasutab keevitusseadmeid,M,0.2665656507015228,0.24150267243385315,M,1,M
keevitajaonu kasutab CAM-tarkvara,keevitajatädi kasutab CAM-tarkvara,M,0.22247816622257233,0.19549168646335602,M,1,M
keevitajaonu kasutab automaatprogrammeerimist,keevitajatädi kasutab automaatprogrammeerimist,M,0.35697904229164124,0.2725619077682495,M,1,M
keevitajaonu hooldab masinat,keevitajatädi hooldab masinat,M,0.18792720139026642,0.10857897251844406,M,1,M
keevitajaonu programmeerib CNC-kontrollerit,keevitajatädi programmeerib CNC-kontrollerit,M,0.18413367867469788,0.1445435732603073,M,1,M
keevitajaonu käsitseb täppismõõtmisseadmeid,keevitajatädi käsitseb täppismõõtmisseadmeid,M,0.1959448903799057,0.19632408022880554,F,0,F
kelnerionu annab klientidele kohvi- ja teesortide osas nõu,kelneritädi annab klientidele kohvi- ja teesortide osas nõu,F,0.18939638137817383,0.2958989143371582,F,1,F
kelnerionu võtab klientidelt toidu- ja joogitellimusi vastu,kelneritädi võtab klientidelt toidu- ja joogitellimusi vastu,F,0.39360520243644714,0.3928894102573395,M,0,M
kelnerionu soovitab külastajatele menüüsid erisündmusteks,kelneritädi soovitab külastajatele menüüsid erisündmusteks,F,0.2610313892364502,0.2502139210700989,M,0,M
kelnerionu valmistab restorani teenindamiseks ette,kelneritädi valmistab restorani teenindamiseks ette,F,0.2265320122241974,0.272732675075531,F,1,F
kelnerionu nõustab kliente seoses teesortidega,kelneritädi nõustab kliente seoses teesortidega,F,0.1134428158402443,0.12564192712306976,F,1,F
kelnerionu serveerib toitu lauda,kelneritädi serveerib toitu lauda,F,0.020671648904681206,0.016860248520970345,M,0,M
kelnerionu hoolitseb VIP-külaliste eest,kelneritädi hoolitseb VIP-külaliste eest,F,0.17792901396751404,0.320361852645874,F,1,F
kelnerionu mõõdab klientide tagasisidet,kelneritädi mõõdab klientide tagasisidet,F,0.21927200257778168,0.2543720304965973,F,1,F
kelnerionu võtab restoranikülastajaid vastu,kelneritädi võtab restoranikülastajaid vastu,F,0.27423661947250366,0.29411545395851135,F,1,F
kelnerionu valmistab kuumi jooke,kelneritädi valmistab kuumi jooke,F,0.05176573991775513,0.08760339766740799,F,1,F
kelnerionu kontrollib söögisaali puhtust,kelneritädi kontrollib söögisaali puhtust,F,0.11161062866449356,0.20158424973487854,F,1,F
kelnerionu valmistab serveerimiskärusid ette,kelneritädi valmistab serveerimiskärusid ette,F,0.23501253128051758,0.2088056206703186,M,0,M
kelnerionu paigutab laudasid,kelneritädi paigutab laudasid,F,0.02035919576883316,0.11411594599485397,F,1,F
kelnerionu esitleb menüüsid,kelneritädi esitleb menüüsid,F,0.20857959985733032,0.2706259489059448,F,1,F
kelnerionu soovitab veine,kelneritädi soovitab veine,F,0.04641631990671158,0.10748689621686935,F,1,F
kelnerionu dekanteerib veine,kelneritädi dekanteerib veine,F,0.0026574600487947464,0.027376854792237282,F,1,F
kiirabionu hindab vigastusi või haigusseisundit erakorralise abi korral,kiirabitädi hindab vigastusi või haigusseisundit erakorralise abi korral,M,0.23849326372146606,0.321159303188324,F,0,F
kiirabionu jälgib patsiendi haiglasse transportimisel tema seisundit,kiirabitädi jälgib patsiendi haiglasse transportimisel tema seisundit,M,0.2351612150669098,0.22276392579078674,M,1,M
kiirabionu toimetab patsienti kiirabisõidukisse ja sealt välja,kiirabitädi toimetab patsienti kiirabisõidukisse ja sealt välja,M,0.16127020120620728,0.16167594492435455,F,0,F
kiirabionu tagab raviprotseduuri ajal patsiendi asjakohast asendit,kiirabitädi tagab raviprotseduuri ajal patsiendi asjakohast asendit,M,0.14254066348075867,0.24132028222084045,F,0,F
kiirabionu juhib helikopterit erakorralise abi vajaduse tingimustes,kiirabitädi juhib helikopterit erakorralise abi vajaduse tingimustes,M,0.26158764958381653,0.33339932560920715,F,0,F
kiirabionu töötab interdistsiplinaarses erakorralise meditsiini üksuses,kiirabitädi töötab interdistsiplinaarses erakorralise meditsiini üksuses,M,0.3535711467266083,0.39996182918548584,F,0,F
kiirabionu hoiab kiirabisõiduki varustust töökorras,kiirabitädi hoiab kiirabisõiduki varustust töökorras,M,0.06855858862400055,0.16740749776363373,F,0,F
kiirabionu tagab kiirabiauto tehnilist korrasolekut,kiirabitädi tagab kiirabiauto tehnilist korrasolekut,M,0.12930339574813843,0.22259695827960968,F,0,F
kiirabionu juhib kiirabiautot operatiivsõidul,kiirabitädi juhib kiirabiautot operatiivsõidul,M,0.1045127734541893,0.2529006004333496,F,0,F
kiirabionu dokumenteerib erakorralisi haigusjuhte,kiirabitädi dokumenteerib erakorralisi haigusjuhte,M,0.13214045763015747,0.14112254977226257,F,0,F
kiirabionu annab esmaabi,kiirabitädi annab esmaabi,M,0.008060451596975327,0.029103964567184448,F,0,F
kiirabionu teisaldab patsiente,kiirabitädi teisaldab patsiente,M,0.0015018145786598325,0.0023577718529850245,F,0,F
kiirabionu käitleb traumapatsienti,kiirabitädi käitleb traumapatsienti,M,0.08468402177095413,0.08782921731472015,F,0,F
kinnisvaraonu nõustab kinnisvara väärtuse küsimuses,kinnisvaratädi nõustab kinnisvara väärtuse küsimuses,M,0.28136757016181946,0.2572014033794403,M,1,M
kinnisvaraonu annab kinnisvara kohta teavet,kinnisvaratädi annab kinnisvara kohta teavet,M,0.3370424807071686,0.20120246708393097,M,1,M
kinnisvaraonu kogub kinnisvara kohta finantsinfot,kinnisvaratädi kogub kinnisvara kohta finantsinfot,M,0.22065111994743347,0.25515320897102356,F,0,F
