,sent_w,sent_m,preferredLabel_en,Labor_Stat,n_words,term_root,has_duplicates
217,hambaarstitädi teostab suuõõne rekonstruktiivset operatsiooni,hambaarstionu teostab suuõõne rekonstruktiivset operatsiooni,perform reconstructive oral surgery,F,4,hambaarsti,False
218,hambaarstitädi kirjutab hambaravi ravimiretsepti välja,hambaarstionu kirjutab hambaravi ravimiretsepti välja,write prescriptions for medication in dentistry,F,4,hambaarsti,False
219,hambaarstitädi taastab kulunud hammastikku,hambaarstionu taastab kulunud hammastikku,rehabilitate worn dentition,F,3,hambaarsti,False
220,hambaarstitädi eristab näo-lõualuupiirkonna kudesid,hambaarstionu eristab näo-lõualuupiirkonna kudesid,differentiate between maxillofacial tissues,F,3,hambaarsti,False
221,hambaarstitädi osutab parodontoloogilist ravi,hambaarstionu osutab parodontoloogilist ravi,provide periodontal treatment,F,3,hambaarsti,False
222,hambaarstitädi kasutab ortodontilisi vahendeid,hambaarstionu kasutab ortodontilisi vahendeid,use orthodontic tools,F,3,hambaarsti,False
223,hambaarstitädi ravib anesteesia kõrvaltoimeid,hambaarstionu ravib anesteesia kõrvaltoimeid,manage adverse reactions to anaesthesia,F,3,hambaarsti,False
224,hambaarstitädi paigaldab ortodontilist aparaati,hambaarstionu paigaldab ortodontilist aparaati,fit dental appliances,F,3,hambaarsti,False
225,hambaarstitädi korrigeerib temporomandibulaarliigese anomaaliaid,hambaarstionu korrigeerib temporomandibulaarliigese anomaaliaid,correct temporomandibular joint abnormalities,F,3,hambaarsti,False
226,hambaarstitädi diagnoosib näo-lõualuusüsteemi anomaaliaid,hambaarstionu diagnoosib näo-lõualuusüsteemi anomaaliaid,diagnose abnormalities of dental-facial structures,F,3,hambaarsti,False
227,hambaarstitädi täidab tervishoiuüksuses infektsioonikontrollinõudeid,hambaarstionu täidab tervishoiuüksuses infektsioonikontrollinõudeid,manage infection control in the facility,F,3,hambaarsti,False
228,hambaarstitädi osutab erakorralist hambaravi,hambaarstionu osutab erakorralist hambaravi,manage dental emergencies,F,3,hambaarsti,False
229,hambaarstitädi haldab hambaravi raviarveldust,hambaarstionu haldab hambaravi raviarveldust,handle payments in dentistry,F,3,hambaarsti,False
230,hambaarstitädi diagnoosib suuõõnetervist,hambaarstionu diagnoosib suuõõnetervist,perform oral health diagnosis,F,2,hambaarsti,False
231,hambaarstitädi juhib hambaraviüksust,hambaarstionu juhib hambaraviüksust,lead the dental team,F,2,hambaarsti,False
232,hambaarstitädi ravib norskamisprobleeme,hambaarstionu ravib norskamisprobleeme,treat snoring problems,F,2,hambaarsti,False
233,hambaarstitädi ravib hambakaariest,hambaarstionu ravib hambakaariest,treat tooth decay,F,2,hambaarsti,False
234,hambaarstitädi korrigeerib hambumust,hambaarstionu korrigeerib hambumust,manage occlusion,F,2,hambaarsti,False
235,hambaarstitädi juhendab hambaravitöötajaid,hambaarstionu juhendab hambaravitöötajaid,supervise dental staff,F,2,hambaarsti,False
236,hambaarstitädi ravib hambumusanomaaliat,hambaarstionu ravib hambumusanomaaliat,treat cases of malocclusion,F,2,hambaarsti,False
237,hoidjatädi hoolitseb laste füüsiliste põhivajaduste eest,hoidjaonu hoolitseb laste füüsiliste põhivajaduste eest,attend to children's basic physical needs,F,5,hoidja,False
238,hoidjatädi abistab lapsi koduülesannete tegemisel,hoidjaonu abistab lapsi koduülesannete tegemisel,assist children with homework,F,4,hoidja,False
239,hoidjatädi valvab laste järele,hoidjaonu valvab laste järele,supervise children,F,3,hoidja,False
240,hoidjatädi mängib lastega,hoidjaonu mängib lastega,play with children,F,2,hoidja,False
241,hostelitädi juhib majutusasutuse osakondade koostööd,hostelionu juhib majutusasutuse osakondade koostööd,manage different departments in a hospitality establishment,F,4,hosteli,False
242,hostelitädi haldab majutusasutuse tulusid,hostelionu haldab majutusasutuse tulusid,manage hospitality revenue,F,3,hosteli,False
243,hostelitädi abistab vastuvõtulauas,hostelionu abistab vastuvõtulauas,assist at check-in,F,2,hosteli,True
244,hostelitädi säilitab klienditeenindust,hostelionu säilitab klienditeenindust,maintain customer service,F,2,hosteli,True
245,hostelitädi rakendab hinnastamisstrateegiaid,hostelionu rakendab hinnastamisstrateegiaid,set up pricing strategies,F,2,hosteli,False
246,hostelitädi lahendab kliendikaebusi,hostelionu lahendab kliendikaebusi,handle customer complaints,F,2,hosteli,True
247,hostelitädi prognoosib täituvust,hostelionu prognoosib täituvust,forecast occupancy demand,F,2,hosteli,False
248,hotellitädi võtab toateeninduse tellimusi vastu,hotellionu võtab toateeninduse tellimusi vastu,take room service orders,F,4,hotelli,False
249,hotellitädi teenindab majutusasutusse saabujaid,hotellionu teenindab majutusasutusse saabujaid,deal with arrivals in accommodation,F,3,hotelli,False
250,hotellitädi teostab päevalõpu arveldusaruannet,hotellionu teostab päevalõpu arveldusaruannet,carry out end of day accounts,F,3,hotelli,False
251,hotellitädi jälgib külastajate sissepääsu,hotellionu jälgib külastajate sissepääsu,monitor guest access,F,3,hotelli,False
252,hotellitädi abistab erivajadustega kliente,hotellionu abistab erivajadustega kliente,assist clients with special needs,F,3,hotelli,False
253,hotellitädi lahendab kliendikaebusi,hotellionu lahendab kliendikaebusi,handle customer complaints,F,2,hotelli,True
254,hotellitädi abistab vastuvõtulauas,hotellionu abistab vastuvõtulauas,assist at check-in,F,2,hotelli,True
255,hotellitädi säilitab klienditeenindust,hotellionu säilitab klienditeenindust,maintain customer service,F,2,hotelli,True
256,hotellitädi töötleb broneeringuid,hotellionu töötleb broneeringuid,process reservations,F,2,hotelli,False
257,hotellitädi töötleb makseid,hotellionu töötleb makseid,process payments,F,2,hotelli,True
258,hotellitädi peab külalisarhiivi,hotellionu peab külalisarhiivi,maintain customer records,F,2,hotelli,False
259,infotädi veenab alternatiivide võrdlemise teel kliente,infoonu veenab alternatiivide võrdlemise teel kliente,persuade clients with alternatives,F,5,info,False
260,infotädi töötab kodanikele pakutavate e-teenuste alal,infoonu töötab kodanikele pakutavate e-teenuste alal,work with e-services available to citizens,F,5,info,False
261,infotädi menetleb abiliinile teatatud probleeme,infoonu menetleb abiliinile teatatud probleeme,handle helpdesk problems,F,4,info,False
262,infotädi leiab probleemidele lahendusi,infoonu leiab probleemidele lahendusi,create solutions to problems,F,3,info,True
263,infotädi vastab päringutele kirjalikult,infoonu vastab päringutele kirjalikult,respond to inquiries in written form,F,3,info,False
264,infolauatädi märgib kliendisuhtluse infot üles,infolauaonu märgib kliendisuhtluse infot üles,keep records of customer interaction,F,4,infolaua,False
265,infolauatädi sisestab kliendi andmeid tellimusvormile,infolauaonu sisestab kliendi andmeid tellimusvormile,process order forms with customer's information,F,4,infolaua,False
266,infolauatädi leiab probleemidele lahendusi,infolauaonu leiab probleemidele lahendusi,create solutions to problems,F,3,infolaua,True
267,infolauatädi korraldama konfliktijuhtimist,infolauaonu korraldama konfliktijuhtimist,apply conflict management,F,2,infolaua,False
268,infolauatädi müüb lisatooteid,infolauaonu müüb lisatooteid,upsell products,F,2,infolaua,False
269,juhitädi püüdleb ettevõtte kasvu poole,juhionu püüdleb ettevõtte kasvu poole,strive for company growth,M,4,juhi,False
270,juhitädi esitab tasuvusanalüüside aruandeid,juhionu esitab tasuvusanalüüside aruandeid,provide cost benefit analysis reports,M,3,juhi,False
271,juhitädi analüüsib eesmärkide saavutamist,juhionu analüüsib eesmärkide saavutamist,analyse goal progress,M,3,juhi,False
272,juhitädi teeb juhtidega koostööd,juhionu teeb juhtidega koostööd,liaise with managers,M,3,juhi,False
273,juhitädi peab sidusrühmadega läbirääkimisi,juhionu peab sidusrühmadega läbirääkimisi,negotiate with stakeholders,M,3,juhi,False
274,juhitädi suhtleb kvaliteedikontrolli tegijaga,juhionu suhtleb kvaliteedikontrolli tegijaga,liaise with quality assurance,M,3,juhi,False
275,juhitädi sõlmib tarnijatega kokkuleppeid,juhionu sõlmib tarnijatega kokkuleppeid,negotiate supplier arrangements,M,3,juhi,False
276,juhitädi haldab varusid,juhionu haldab varusid,manage supplies,M,2,juhi,False
277,juhitädi haldab eelarveid,juhionu haldab eelarveid,manage budgets,M,2,juhi,False
278,juhitädi analüüsib andmeid,juhionu analüüsib andmeid,perform data analysis,M,2,juhi,False
279,juhitädi optimeerib finantstulemusi,juhionu optimeerib finantstulemusi,optimise financial performance,M,2,juhi,False
280,juhitädi juhib personali,juhionu juhib personali,manage staff,M,2,juhi,False
281,juhitädi jälgib kvaliteedikontrolli,juhionu jälgib kvaliteedikontrolli,oversee quality control,M,2,juhi,False
282,juhitädi parandab äriprotsesse,juhionu parandab äriprotsesse,improve business processes,M,2,juhi,False
283,juhitädi jagab tootmisplaani,juhionu jagab tootmisplaani,disaggregate the production plan,M,2,juhi,False
284,juhitädi edastab tootmisplaani,juhionu edastab tootmisplaani,communicate production plan,M,2,juhi,False
285,juhitädi juhib tootmist,juhionu juhib tootmist,control production,M,2,juhi,False
286,juhitädi värbab töötajaid,juhionu värbab töötajaid,recruit employees,M,2,juhi,False
287,juhitädi juhib turustuskanaleid,juhionu juhib turustuskanaleid,manage distribution channels,M,2,juhi,False
288,juhitädi tuvastab energiavajadusi,juhionu tuvastab energiavajadusi,identify energy needs,M,2,juhi,False
289,juhitädi teeb turu-uuringut,juhionu teeb turu-uuringut,perform market research,M,2,juhi,False
290,juuksuritädi annab kosmeetikaga seotud ilunõu,juuksurionu annab kosmeetikaga seotud ilunõu,offer cosmetic beauty advice,F,4,juuksuri,False
291,juuksuritädi nõustab kliente juukseprobleemide küsimuses,juuksurionu nõustab kliente juukseprobleemide küsimuses,help customers with hair problems,F,4,juuksuri,False
292,juuksuritädi nõustab soengustiilide küsimuses,juuksurionu nõustab soengustiilide küsimuses,advise on hair style,F,3,juuksuri,False
293,juuksuritädi püsib soengumoega kursis,juuksurionu püsib soengumoega kursis,stay up-to-date with hair style trends,F,3,juuksuri,False
294,juuksuritädi soovitab klientidele kosmeetikat,juuksurionu soovitab klientidele kosmeetikat,recommend cosmetics to customers,F,3,juuksuri,False
295,juuksuritädi teeb soengut,juuksurionu teeb soengut,style hair,F,2,juuksuri,False
296,juuksuritädi peseb juukseid,juuksurionu peseb juukseid,wash hair,F,2,juuksuri,False
297,juuksuritädi teeb juukselokke,juuksurionu teeb juukselokke,curl hair,F,2,juuksuri,False
298,juuksuritädi värvib juukseid,juuksurionu värvib juukseid,dye hair,F,2,juuksuri,False
299,juuksuritädi müüb juuksehooldustooteid,juuksurionu müüb juuksehooldustooteid,sell hair products,F,2,juuksuri,False
300,juuksuritädi ravib peanahaprobleeme,juuksurionu ravib peanahaprobleeme,treat scalp conditions,F,2,juuksuri,False
301,juuksuritädi hooldab parukaid,juuksurionu hooldab parukaid,maintain wigs,F,2,juuksuri,False
302,juuksuritädi hooldab habemeid,juuksurionu hooldab habemeid,treat facial hair,F,2,juuksuri,False
303,juuksuritädi kujundab soengustiile,juuksurionu kujundab soengustiile,design hair style,F,2,juuksuri,False
304,kassatädi peab tehingute registrit,kassaonu peab tehingute registrit,maintain transaction's reports,F,3,kassa,False
305,kassatädi pakib kaupu kingitusteks,kassaonu pakib kaupu kingitusteks,pack merchandise for gifts,F,3,kassa,False
306,kassatädi reserveerib kaupu klientidele,kassaonu reserveerib kaupu klientidele,reserve merchandise for customers,F,3,kassa,False
307,kassatädi pakib oste kottidesse,kassaonu pakib oste kottidesse,package purchases in bags,F,3,kassa,False
308,kassatädi hoiab kassa-ala puhtana,kassaonu hoiab kassa-ala puhtana,maintain check-out area cleanliness,F,3,kassa,False
309,kassatädi kasutab kassaaparaati,kassaonu kasutab kassaaparaati,operate cash register,F,2,kassa,False
310,kassatädi töötleb tagasimakseid,kassaonu töötleb tagasimakseid,process refunds,F,2,kassa,False
311,kassatädi töötleb makseid,kassaonu töötleb makseid,process payments,F,2,kassa,True
312,kassatädi väljastab müügiarveid,kassaonu väljastab müügiarveid,issue sales invoices,F,2,kassa,False
313,kassatädi kaalub materjale,kassaonu kaalub materjale,weigh materials,F,2,kassa,False
314,kassatädi loeb sularaha,kassaonu loeb sularaha,count money,F,2,kassa,False
315,kassatädi paigaldab hinnasilte,kassaonu paigaldab hinnasilte,put up price tags,F,2,kassa,False
316,kassatädi haldab lojaalsussüsteeme,kassaonu haldab lojaalsussüsteeme,process loyalty schemes,F,2,kassa,False
317,kassatädi jälgib kassat,kassaonu jälgib kassat,monitor check-out point,F,2,kassa,False
318,kasvatajatädi aitab laste individuaalsete oskuste arengule kaasa,kasvatajaonu aitab laste individuaalsete oskuste arengule kaasa,assist children in developing personal skills,F,6,kasvataja,False
319,kasvatajatädi julgustab õppureid oma saavutusi hindama,kasvatajaonu julgustab õppureid oma saavutusi hindama,encourage students to acknowledge their achievements,F,5,kasvataja,False
320,kasvatajatädi konsulteerib õpitava sisu teemal õppuritega,kasvatajaonu konsulteerib õpitava sisu teemal õppuritega,consult students on learning content,F,5,kasvataja,False
321,kasvatajatädi rakendab laste hoolekandeprogramme,kasvatajaonu rakendab laste hoolekandeprogramme,implement care programmes for children,F,3,kasvataja,False
322,kasvatajatädi õpetab lasteaiatundide sisu,kasvatajaonu õpetab lasteaiatundide sisu,teach kindergarten class content,F,3,kasvataja,False
323,kasvatajatädi pakub koolijärgset tegevust,kasvatajaonu pakub koolijärgset tegevust,provide after school care,F,3,kasvataja,False
324,kasvatajatädi peab mänguväljakul korda,kasvatajaonu peab mänguväljakul korda,perform playground surveillance,F,3,kasvataja,False
325,kasvatajatädi korraldab loomingulist esinemist,kasvatajaonu korraldab loomingulist esinemist,organise creative performance,F,3,kasvataja,False
326,kasvatajatädi kasutab õppimisstrateegiaid,kasvatajaonu kasutab õppimisstrateegiaid,use learning strategies,F,2,kasvataja,False
327,kasvatajatädi pakub õppematerjale,kasvatajaonu pakub õppematerjale,provide lesson materials,F,2,kasvataja,False
328,kasvatajatädi suhtleb lastevanematega,kasvatajaonu suhtleb lastevanematega,maintain relations with children's parents,F,2,kasvataja,False
329,keeletädi rakendab teadusuuringutes teaduseetika ja teadustöö usaldusväärsuse põhimõtteid,keeleonu rakendab teadusuuringutes teaduseetika ja teadustöö usaldusväärsuse põhimõtteid,apply research ethics and scientific integrity principles in research activities,F,7,keele,False
330,keeletädi teostab eri teadusharusid hõlmavaid teadusuuringuid,keeleonu teostab eri teadusharusid hõlmavaid teadusuuringuid,conduct research across disciplines,F,5,keele,False
331,keeletädi teeb lingvistilise protsessi etappides koostööd,keeleonu teeb lingvistilise protsessi etappides koostööd,cooperate in linguistic process steps,F,5,keele,False
332,keeletädi lõimib soolist mõõdet teadusuuringutesse,keeleonu lõimib soolist mõõdet teadusuuringutesse,integrate gender dimension in research,F,4,keele,False
333,keeletädi töötab teaduslikke teooriaid välja,keeleonu töötab teaduslikke teooriaid välja,develop scientific theories,F,4,keele,False
334,keeletädi uurib keele omandamist,keeleonu uurib keele omandamist,study acquisition of language,F,3,keele,False
335,keeletädi levitab teadusringkondadele tulemusi,keeleonu levitab teadusringkondadele tulemusi,disseminate results to the scientific community,F,3,keele,False
336,keeletädi taotleb teadustöö rahastamist,keeleonu taotleb teadustöö rahastamist,apply for research funding,F,3,keele,False
337,keeletädi rakendab teaduslikke meetodeid,keeleonu rakendab teaduslikke meetodeid,apply scientific methods,F,3,keele,False
338,keeletädi avaldab akadeemilisi uurimusi,keeleonu avaldab akadeemilisi uurimusi,publish academic research,F,3,keele,False
339,keeletädi teavitab teaduslikest avastustest,keeleonu teavitab teaduslikest avastustest,communicate with a non-scientific audience ,F,3,keele,False
340,keeletädi koostab terminoloogia andmebaase,keeleonu koostab terminoloogia andmebaase,develop terminology databases,F,3,keele,False
341,keeletädi kirjutab teadusprojekti ettepanekuid,keeleonu kirjutab teadusprojekti ettepanekuid,write research proposals,F,3,keele,False
342,keeletädi teeb avalikke uuringuid,keeleonu teeb avalikke uuringuid,conduct public surveys,F,3,keele,False
343,keeletädi parandab tõlgitud tekste,keeleonu parandab tõlgitud tekste,improve translated texts,F,3,keele,False
344,keeletädi haldab teadusandmed,keeleonu haldab teadusandmed,manage research data,F,2,keele,False
345,keeletädi hindab teadustegevusi,keeleonu hindab teadustegevusi,evaluate research activities,F,2,keele,False
346,keeletädi teeb teadusuuringuid,keeleonu teeb teadusuuringuid,perform scientific research,F,2,keele,False
347,keeletädi edendab teadmussiiret,keeleonu edendab teadmussiiret,promote the transfer of knowledge,F,2,keele,False
348,keeletädi kirjutab teaduspublikatsioone,keeleonu kirjutab teaduspublikatsioone,write scientific publications,F,2,keele,False
349,keeletädi intervjueerib sihtrühmi,keeleonu intervjueerib sihtrühmi,interview focus groups,F,2,keele,False
350,keeletädi koostab tehnikasõnastikke,keeleonu koostab tehnikasõnastikke,develop technical glossaries,F,2,keele,False
351,keeletädi õpetab keeli,keeleonu õpetab keeli,teach languages,F,2,keele,False
352,keeletädi rakendab põimõpet,keeleonu rakendab põimõpet,apply blended learning,F,2,keele,False
353,keeletädi teeb välitöid,keeleonu teeb välitöid,conduct field work,F,2,keele,False
354,keeletädi tõlgib keelemõisteid,keeleonu tõlgib keelemõisteid,translate language concepts,F,2,keele,False
355,keevitajatädi valmistab osi ühendamiseks ette,keevitajaonu valmistab osi ühendamiseks ette,prepare pieces for joining,M,4,keevitaja,False
356,keevitajatädi tagab metalli sobivat temperatuuri,keevitajaonu tagab metalli sobivat temperatuuri,ensure correct metal temperature,M,4,keevitaja,False
357,keevitajatädi söödab seadmesse materjali,keevitajaonu söödab seadmesse materjali,supply machine,M,3,keevitaja,False
358,keevitajatädi kontrollib toodete kvaliteeti,keevitajaonu kontrollib toodete kvaliteeti,inspect quality of products,M,3,keevitaja,False
359,keevitajatädi teeb töödetaili eeltöötlust,keevitajaonu teeb töödetaili eeltöötlust,apply preliminary treatment to workpieces,M,3,keevitaja,False
360,keevitajatädi märkab metalli defekte,keevitajaonu märkab metalli defekte,spot metal imperfections,M,3,keevitaja,False
361,keevitajatädi hooldab mehhaanilisi seadmeid,keevitajaonu hooldab mehhaanilisi seadmeid,maintain mechanical equipment,M,3,keevitaja,False
362,keevitajatädi tagab õiget gaasirõhku,keevitajaonu tagab õiget gaasirõhku,ensure correct gas pressure,M,3,keevitaja,False
363,keevitajatädi rakendab tehnilisi ressursse,keevitajaonu rakendab tehnilisi ressursse,consult technical resources,M,3,keevitaja,False
364,keevitajatädi silub karedaid pindu,keevitajaonu silub karedaid pindu,smooth burred surfaces,M,3,keevitaja,False
365,keevitajatädi dokumenteerib töö edenemist,keevitajaonu dokumenteerib töö edenemist,keep records of work progress,M,3,keevitaja,False
366,keevitajatädi töötab elektronkeevitusseadmega,keevitajaonu töötab elektronkeevitusseadmega,tend electron beam welding machine,M,2,keevitaja,False
367,keevitajatädi hooldab vaakumkambrit,keevitajaonu hooldab vaakumkambrit,maintain vacuum chamber,M,2,keevitaja,False
368,keevitajatädi jälgib mõõturit,keevitajaonu jälgib mõõturit,monitor gauge,M,2,keevitaja,False
369,keevitajatädi kasutab keevitusseadmeid,keevitajaonu kasutab keevitusseadmeid,operate welding equipment,M,2,keevitaja,False
370,keevitajatädi kasutab CAM-tarkvara,keevitajaonu kasutab CAM-tarkvara,use CAM software,M,2,keevitaja,False
371,keevitajatädi kasutab automaatprogrammeerimist,keevitajaonu kasutab automaatprogrammeerimist,use automatic programming,M,2,keevitaja,False
372,keevitajatädi hooldab masinat,keevitajaonu hooldab masinat,perform machine maintenance,M,2,keevitaja,False
373,keevitajatädi programmeerib CNC-kontrollerit,keevitajaonu programmeerib CNC-kontrollerit,program a CNC controller,M,2,keevitaja,False
374,keevitajatädi käsitseb täppismõõtmisseadmeid,keevitajaonu käsitseb täppismõõtmisseadmeid,operate precision measuring equipment,M,2,keevitaja,False
375,kelneritädi annab klientidele kohvi- ja teesortide osas nõu,kelnerionu annab klientidele kohvi- ja teesortide osas nõu,educate customers on coffee varieties,F,7,kelneri,False
376,kelneritädi võtab klientidelt toidu- ja joogitellimusi vastu,kelnerionu võtab klientidelt toidu- ja joogitellimusi vastu,take food and beverage orders from customers,F,6,kelneri,False
377,kelneritädi soovitab külastajatele menüüsid erisündmusteks,kelnerionu soovitab külastajatele menüüsid erisündmusteks,advise guests on menus for special events,F,4,kelneri,False
378,kelneritädi valmistab restorani teenindamiseks ette,kelnerionu valmistab restorani teenindamiseks ette,prepare the restaurant for service,F,4,kelneri,False
379,kelneritädi nõustab kliente seoses teesortidega,kelnerionu nõustab kliente seoses teesortidega,educate customers on tea varieties,F,4,kelneri,False
380,kelneritädi serveerib toitu lauda,kelnerionu serveerib toitu lauda,serve food in table service,F,3,kelneri,False
381,kelneritädi hoolitseb VIP-külaliste eest,kelnerionu hoolitseb VIP-külaliste eest,assist VIP guests,F,3,kelneri,False
382,kelneritädi mõõdab klientide tagasisidet,kelnerionu mõõdab klientide tagasisidet,measure customer feedback,F,3,kelneri,False
383,kelneritädi võtab restoranikülastajaid vastu,kelnerionu võtab restoranikülastajaid vastu,welcome restaurant guests,F,3,kelneri,False
384,kelneritädi valmistab kuumi jooke,kelnerionu valmistab kuumi jooke,prepare hot drinks,F,3,kelneri,False
385,kelneritädi kontrollib söögisaali puhtust,kelnerionu kontrollib söögisaali puhtust,check dining room cleanliness,F,3,kelneri,False
386,kelneritädi valmistab serveerimiskärusid ette,kelnerionu valmistab serveerimiskärusid ette,prepare service trolleys,F,3,kelneri,False
387,kelneritädi paigutab laudasid,kelnerionu paigutab laudasid,arrange tables,F,2,kelneri,False
388,kelneritädi esitleb menüüsid,kelnerionu esitleb menüüsid,present menus,F,2,kelneri,False
389,kelneritädi soovitab veine,kelnerionu soovitab veine,recommend wines,F,2,kelneri,False
390,kelneritädi dekanteerib veine,kelnerionu dekanteerib veine,decant wines,F,2,kelneri,False
391,kiirabitädi hindab vigastusi või haigusseisundit erakorralise abi korral,kiirabionu hindab vigastusi või haigusseisundit erakorralise abi korral,assess nature of injury in emergency,M,7,kiirabi,False
392,kiirabitädi jälgib patsiendi haiglasse transportimisel tema seisundit,kiirabionu jälgib patsiendi haiglasse transportimisel tema seisundit,monitor patients during transfer to hospital,M,6,kiirabi,False
393,kiirabitädi toimetab patsienti kiirabisõidukisse ja sealt välja,kiirabionu toimetab patsienti kiirabisõidukisse ja sealt välja,transfer patients to and from ambulance vehicles,M,6,kiirabi,False
394,kiirabitädi tagab raviprotseduuri ajal patsiendi asjakohast asendit,kiirabionu tagab raviprotseduuri ajal patsiendi asjakohast asendit,position patients undergoing interventions,M,6,kiirabi,False
395,kiirabitädi juhib helikopterit erakorralise abi vajaduse tingimustes,kiirabionu juhib helikopterit erakorralise abi vajaduse tingimustes,drive helicopter under emergency conditions,M,6,kiirabi,False
396,kiirabitädi töötab interdistsiplinaarses erakorralise meditsiini üksuses,kiirabionu töötab interdistsiplinaarses erakorralise meditsiini üksuses,work in multidisciplinary teams related to emergency care,M,5,kiirabi,False
397,kiirabitädi hoiab kiirabisõiduki varustust töökorras,kiirabionu hoiab kiirabisõiduki varustust töökorras,maintain emergency vehicle equipment,M,4,kiirabi,False
398,kiirabitädi tagab kiirabiauto tehnilist korrasolekut,kiirabionu tagab kiirabiauto tehnilist korrasolekut,ensure ambulance roadworthiness,M,4,kiirabi,False
399,kiirabitädi juhib kiirabiautot operatiivsõidul,kiirabionu juhib kiirabiautot operatiivsõidul,drive ambulance under emergency conditions,M,3,kiirabi,False
400,kiirabitädi dokumenteerib erakorralisi haigusjuhte,kiirabionu dokumenteerib erakorralisi haigusjuhte,write reports on emergency cases,M,3,kiirabi,False
401,kiirabitädi annab esmaabi,kiirabionu annab esmaabi,provide first aid,M,2,kiirabi,False
402,kiirabitädi teisaldab patsiente,kiirabionu teisaldab patsiente,transfer patients,M,2,kiirabi,False
403,kiirabitädi käitleb traumapatsienti,kiirabionu käitleb traumapatsienti,handle patient trauma,M,2,kiirabi,False
404,kinnisvaratädi nõustab kinnisvara väärtuse küsimuses,kinnisvaraonu nõustab kinnisvara väärtuse küsimuses,advise on property value,M,4,kinnisvara,False
405,kinnisvaratädi annab kinnisvara kohta teavet,kinnisvaraonu annab kinnisvara kohta teavet,provide information on properties,M,4,kinnisvara,False
406,kinnisvaratädi kogub kinnisvara kohta finantsinfot,kinnisvaraonu kogub kinnisvara kohta finantsinfot,collect property financial information,M,4,kinnisvara,False
407,kinnisvaratädi teeb kinnisvara päraldiste inventuuri,kinnisvaraonu teeb kinnisvara päraldiste inventuuri,prepare inventory of properties,M,4,kinnisvara,False
408,kinnisvaratädi valmistab kinnisvaralepinguid ette,kinnisvaraonu valmistab kinnisvaralepinguid ette,prepare real estate contract,M,3,kinnisvara,False
409,kinnisvaratädi nõustab investeeringute küsimuses,kinnisvaraonu nõustab investeeringute küsimuses,advise on investment,M,3,kinnisvara,False
410,kinnisvaratädi haldab üürnike vahetumist,kinnisvaraonu haldab üürnike vahetumist,handle tenant changeover,M,3,kinnisvara,False
411,kinnisvaratädi kontrollib ehitiste seisundit,kinnisvaraonu kontrollib ehitiste seisundit,examine the conditions of buildings,M,3,kinnisvara,False
412,kinnisvaratädi planeerib hoonete hooldustöid,kinnisvaraonu planeerib hoonete hooldustöid,plan buildings maintenance work,M,3,kinnisvara,False
413,kinnisvaratädi korraldab kinnisvaraga tutvumist,kinnisvaraonu korraldab kinnisvaraga tutvumist,organise property viewing,M,3,kinnisvara,False
414,kinnisvaratädi tutvustab üürilepinguid,kinnisvaraonu tutvustab üürilepinguid,inform on renting agreements,M,2,kinnisvara,False
415,kinnisvaratädi suhtleb kinnisvaraomanikega,kinnisvaraonu suhtleb kinnisvaraomanikega,liaise with property owners,M,2,kinnisvara,False
416,kinnisvaratädi hindab kinnisvara,kinnisvaraonu hindab kinnisvara,value properties,M,2,kinnisvara,False
417,kinnisvaratädi võrdleb kinnisvarahindu,kinnisvaraonu võrdleb kinnisvarahindu,compare property values,M,2,kinnisvara,False
418,kinnisvaratädi teeb kinnisvarauuringuid,kinnisvaraonu teeb kinnisvarauuringuid,perform property market research,M,2,kinnisvara,False
419,kinnisvaratädi jälgib kinnisvaratehinguid,kinnisvaraonu jälgib kinnisvaratehinguid,monitor title procedures,M,2,kinnisvara,False
420,kirikutädi tõlgendab usulisi tekste,kirikuonu tõlgendab usulisi tekste,interpret religious texts,M,3,kiriku,False
421,kirikutädi teostab usulisi tseremooniaid,kirikuonu teostab usulisi tseremooniaid,perform religious ceremonies,M,3,kiriku,False
422,kirikutädi nõustab spirituaalsetes küsimustes,kirikuonu nõustab spirituaalsetes küsimustes,provide spiritual counselling,M,3,kiriku,False
423,kirikutädi valmistab usutalitusi ette,kirikuonu valmistab usutalitusi ette,prepare religious services,M,3,kiriku,False
424,kirikutädi edendab usulist tegevust,kirikuonu edendab usulist tegevust,promote religious activities,M,3,kiriku,False
425,kirikutädi pühitseb usutegelasi ametisse,kirikuonu pühitseb usutegelasi ametisse,ordain religious officials,M,3,kiriku,False
426,kirikutädi õpetab usulisi tekste,kirikuonu õpetab usulisi tekste,teach religious texts,M,3,kiriku,False
427,kirikutädi peab jumalateenistust,kirikuonu peab jumalateenistust,perform church service,M,2,kiriku,False
428,kirikutädi abistab misjonitöös,kirikuonu abistab misjonitöös,assist missionary work,M,2,kiriku,False
429,kirikutädi juhendab usuvahetust,kirikuonu juhendab usuvahetust,guide conversion,M,2,kiriku,False
430,kirikutädi abistab jumalateenistusel,kirikuonu abistab jumalateenistusel,assist in church service,M,2,kiriku,False
431,kirikutädi sõlmib abielusid,kirikuonu sõlmib abielusid,officiate weddings,M,2,kiriku,False
432,kirikutädi koolitab ususpetsialiste,kirikuonu koolitab ususpetsialiste,train religious professionals,M,2,kiriku,False
433,kirjanikutädi peab avaldamisõiguste küsimuses läbirääkimisi,kirjanikuonu peab avaldamisõiguste küsimuses läbirääkimisi,negotiate publishing rights,F,4,kirjaniku,False
